Console,Abbreviation,Sales_NA,Sales_Europe,Sales_Japan,Sales_restOfWorld,Sales_Total
Playstation 2,PS2,53.65,55.28,23.18,25.57,157.68
Nintendo DS,DS,57.39,52.07,33.01,12.43,154.9
Game Boy,GB,43.18,40.05,32.47,2.99,118.69
Playstation ,PS2,38.94,36.91,19.36,9.04,104.25
Nintendo Wii,Wii,45.51,33.88,12.77,9.48,101.64
Playstation 3,PS3,29.42,34.55,10.47,12.46,86.9
Xbox 360,X360,49.11,25.87,1.66,9.16,85.8
Game Boy Advance,GBA,40.39,21.31,16.96,2.85,81.51
Playstation Portable,PSP,21.41,24.14,20.01,15.26,80.82
Playstation 4,PS4,25.51,30.21,6.36,13.51,75.59
Nintendo 3DS,3DS,23.16,20.18,23.96,4.14,71.44
Nintendo Entertainment System,NES,33.49,8.3,19.35,0.77,61.91
Super Nintendo Entertainment System,SNES,22.88,8.15,17.17,0.9,49.1
Xbox One,Xone,22.42,9.94,0.09,4.17,36.62
Nintendo 64,N64,20.11,6.35,5.54,0.93,32.93
Sega Genesis,GEN,16.98,8.39,3.58,0.59,29.54
Atari 2600,2600,23.54,3.35,0,0.75,27.64
Xbox,XB,15.77,7.17,0.53,1.18,24.65
GameCube,GC,12.55,4.44,4.04,0.71,21.74
Playstation Vita,PSV,2.55,5.23,5.74,2.4,15.92
Nintendo Switch,NS,5.74,3.87,3.7,1.36,14.67
Wii U,WiiU,6.23,3.54,3.33,0.87,13.97
Game Gear,GG,5.4,3.23,1.78,0.21,10.62
Sega Saturn,SAT,1.83,1.12,5.8,0.07,8.82
Dreamcast,DC,3.9,1.91,2.25,0.14,8.2
Atari 7800,7800,4.3,0,0,0,4.3
